effect,detail,link,drugs,tfidf_score,is_top_k,e0,e1,e2
geometry,visually filled with blues and purples. fractals in those colours.,1.0,5-meo-dmt,0.06420521045562348,True,-14.22745,30.070324,23.315903
transpersonal hallucinations,stars and constellation and the universe.,1.0,5-meo-dmt,0.11549696176316933,True,21.535006,15.462339,-28.5955
hallucinatory entities,stars and constellation and the universe.,1.0,5-meo-dmt,0.04593131248523872,True,-25.682732,19.634153,-16.812386
subjective effects,the feelings change from trip to trip.,1.0,5-meo-dmt,0.14346222604138792,True,27.82997,-31.617353,-19.163517
multiple effects,the feelings change from trip to trip.,1.0,5-meo-dmt,0.020839070458993705,True,-12.860713,-33.58891,-1.7433261
internal hallucinations,sometimes it is personal and sometimes it is a trip through the universe via self.,1.0,5-meo-dmt,0.07313760543286442,True,-12.24024,15.539628,-32.23157
transpersonal hallucinations,sometimes it is personal and sometimes it is a trip through the universe via self.,1.0,5-meo-dmt,0.11549696176316933,True,21.535006,15.462339,-28.5955
blackouts,often accompanied by a period of darkness after dissolving and before returning.,1.0,5-meo-dmt,0.036163472768371445,True,0.30023053,-13.737809,-2.010565
blackouts,often don’t remember very much of anything visual past the initial dissolution.,1.0,5-meo-dmt,0.036163472768371445,True,-1.3824067,-17.233875,-1.1804469
positive affect,"""it felt gentle and hopeful.""",2.0,j-a-pinene,0.1409112548707008,True,28.63236,-20.081947,-1.1797149
memory replays,"""it felt like a memory and a flavour of an n-n dmt trip intertwined with 5-meo.""",2.0,j-a-pinene,0.11652186487138436,True,13.605409,30.915266,-0.29971942
hallucinatory states,"""it felt like a memory and a flavour of an n-n dmt trip intertwined with 5-meo.""",2.0,j-a-pinene,0.09761023171950241,True,7.399831,20.696138,-18.270527
memory replays,"""i was taken back to my time in the pyramids.""",2.0,j-a-pinene,0.11652186487138436,True,13.605409,30.915266,-0.29971942
geometry,"""i felt triangles within myself of things i cannot put into words.""",2.0,j-a-pinene,0.33966559573011673,True,35.082638,36.83987,6.4850135
insight,"""it connected these points in my body in ways i could not seem to previously attain.""",2.0,j-a-pinene,0.06397619600328174,True,-1.583233,26.636946,16.972763
color enhancement,"""shades of green and yellow rather than blues and purples.""",2.0,j-a-pinene,0.06397619600328174,True,4.105798,-11.450126,-41.673203
internal hallucinations,"""i still found myself floating in a place at times that had no colours or light. just a black void.""",2.0,j-a-pinene,0.05314845496178534,True,-16.582483,18.123613,-27.455948
cognitive impairments,"""however, the entry and exit were smoother and less jarring.""",2.0,j-a-pinene,0.3117423283103891,True,50.832302,-17.299862,-5.1914597
confusion,"""however, the entry and exit were smoother and less jarring.""",2.0,j-a-pinene,0.11156961779381794,True,25.400894,5.5022335,35.484516
nausea,"""i felt my stomach rumble very loudly on the 3rd round going in.""",2.0,j-a-pinene,0.08678249067800599,True,15.104646,-17.877201,34.6268
increased salivation,"""i felt my stomach rumble very loudly on the 3rd round going in.""",2.0,j-a-pinene,0.09761023171950241,True,20.37948,-12.873099,22.418337
bodily transformations,"""i felt my body creak and crack coming out of my fourth in ways it hasn't done yet.""",2.0,j-a-pinene,0.08678249067800599,True,13.512775,-10.533198,-11.978512
self acceptance,"""it eased my fear and helped me find some form of new tenderness with myself.""",2.0,j-a-pinene,0.13124426743572307,True,13.286128,13.304464,7.0797505
fear suppression,"""it eased my fear and helped me find some form of new tenderness with myself.""",2.0,j-a-pinene,0.26248853487144613,True,2.7063718,34.280235,34.280216
tactile hallucinations,"""a gentle hug from me to me via pine.""",2.0,j-a-pinene,0.17356498135601198,True,13.965523,30.945938,-37.43735
hallucinatory entities,"""a gentle hug from me to me via pine.""",2.0,j-a-pinene,0.17356498135601198,True,20.428759,33.78278,-29.803453
nausea,faint nausea upon taking. 2-3 mins post. faded at about 15.,3.0,j-cassia,0.0984462117392275,True,14.303365,-15.450398,31.580425
gastrointestinal effects,burping up cinnamon at about 25-30.,3.0,j-cassia,0.1488837303538183,True,21.376858,-23.607965,-10.8734865
paresthesia,after inhaling the first round i felt fire burning through my jaw and forehead.,3.0,j-cassia,0.08841026289160865,True,-7.9366016,32.81211,-19.97299
emotional unburdening,second round was a wildfire burning through me. my shoulders and spine. burning through insecurity and doubt.,3.0,j-cassia,0.22145844086054964,True,36.13149,-0.9154677,7.6785464
emotional clarity,second round was a wildfire burning through me. my shoulders and spine. burning through insecurity and doubt.,3.0,j-cassia,0.12656477281515213,True,24.641253,-1.0225796,13.362627
essence amplification,connecting me to all those traumas of people around me.,3.0,j-cassia,0.1768205257832173,True,28.23424,-1.6981199,-31.506378
transpersonal states,connecting me to all those traumas of people around me.,3.0,j-cassia,0.25312954563030426,True,35.602562,16.026419,-11.0032215
love,the third was love. through me. through my family.,3.0,j-cassia,0.07992498904480629,True,-11.319274,18.676977,37.924248
immersion enhancement,through our next child and the one we have now.,3.0,j-cassia,0.11072922043027482,True,8.429174,-7.671874,-20.223068
interpersonal bonding,through our next child and the one we have now.,3.0,j-cassia,0.11072922043027482,True,3.4539483,12.876564,3.6352415
philosophic contemplation,connecting us through the cycle of ash and growth. decay and rebirth.,3.0,j-cassia,0.0660913053529425,True,-20.514328,35.488506,5.075246
humor enhancement,how funny that this is both a complete illusion and yet the realest experience we can ever have.,3.0,j-cassia,0.12656477281515213,True,14.65093,-18.10676,-35.289787
philosophy enhancement,how funny that this is both a complete illusion and yet the realest experience we can ever have.,3.0,j-cassia,0.0984462117392275,True,10.704653,-8.839398,-31.13717
geometry,"shimmery, rainbow, white opalescence, greens and yellows.",4.0,j-geraniol,0.21470532144553844,True,27.04409,39.614468,7.618153
